MineID,Time (years),Flow rate (m3/yr),Name
1,7,713275.5418,Duralie
1,8,713275.5418,Duralie
1,9,758024.7678,Duralie
1,10,265783.2817,Duralie
1,11,1090253.87,Duralie
1,12,1091609.907,Duralie
1,13,772941.1765,Duralie
1,14,378334.3653,Duralie
1,15,3254489.164,Duralie
1,16,2091009.288,Duralie
1,17,669882.3529,Duralie
1,18,669882.3529,Duralie
1,19,814803.9512,Duralie
1,20,348622.5861,Duralie
1,21,383079.4696,Duralie
1,22,393213.8471,Duralie
1,23,238157.8713,Duralie
1,24,326326.9556,Duralie
1,25,26349.38151,Duralie
1,26,0,Duralie
4,12,69350,Stratford - Roseville
4,13,124100,Stratford - Roseville
4,14,116800,Stratford - Roseville
4,15,116800,Stratford - Roseville
4,16,200750,Stratford - Roseville
4,17,189800,Stratford - Roseville
4,18,189800,Stratford - Roseville
4,19,167794.2029,Stratford - Roseville
4,20,118281.1594,Stratford - Roseville
4,21,134785.5072,Stratford - Roseville
4,22,137536.2319,Stratford - Roseville
4,23,132034.7826,Stratford - Roseville
4,24,137536.2319,Stratford - Roseville
4,25,126533.3333,Stratford - Roseville
4,26,121031.8841,Stratford - Roseville
4,27,118281.1594,Stratford - Roseville
4,28,126533.3333,Stratford - Roseville
4,29,0,Stratford - Roseville
3,8,36771.26342,Stratford - Bowen
3,9,81525.86335,Stratford - Bowen
3,10,98899.08742,Stratford - Bowen
3,11,113501.715,Stratford - Bowen
3,12,113864.9453,Stratford - Bowen
3,13,126543.2256,Stratford - Bowen
3,14,123231.6479,Stratford - Bowen
3,15,85938.72409,Stratford - Bowen
3,16,117454.7418,Stratford - Bowen
3,17,107523.873,Stratford - Bowen
3,18,105850,Stratford - Bowen
3,19,146000,Stratford - Bowen
3,20,146000,Stratford - Bowen
3,21,153300,Stratford - Bowen
3,22,156950,Stratford - Bowen
3,23,156950,Stratford - Bowen
3,24,0,Stratford - Bowen
2,0,218000,Stratford - Main
2,1,218000,Stratford - Main
2,2,326000,Stratford - Main
2,3,326000,Stratford - Main
2,4,304000,Stratford - Main
2,5,304000,Stratford - Main
2,6,304000,Stratford - Main
2,7,326000,Stratford - Main
2,8,357700,Stratford - Main
2,9,204400,Stratford - Main
2,10,175200,Stratford - Main
2,11,156950,Stratford - Main
2,12,200750,Stratford - Main
2,13,130011.8806,Stratford - Main
2,14,80300,Stratford - Main
2,15,32850,Stratford - Main
2,16,87048.4835,Stratford - Main
2,17,77161.42863,Stratford - Main
2,18,0,Stratford - Main
5,18,83950,Stratford - Avon
5,19,83950,Stratford - Avon
5,20,80300,Stratford - Avon
5,21,87600,Stratford - Avon
5,22,83950,Stratford - Avon
5,23,116800,Stratford - Avon
5,24,102200,Stratford - Avon
5,25,98550,Stratford - Avon
5,26,83950,Stratford - Avon
5,27,83950,Stratford - Avon
5,28,73000,Stratford - Avon
5,29,0,Stratford - Avon
6,18,40150,Stratford - East
6,19,40150,Stratford - East
6,20,47450,Stratford - East
6,21,43800,Stratford - East
6,22,40150,Stratford - East
6,23,32850,Stratford - East
6,24,32850,Stratford - East
6,25,36500,Stratford - East
6,26,25550,Stratford - East
6,27,62050,Stratford - East
6,28,29200,Stratford - East
6,29,0,Stratford - East
7,18,222508,RockyHill
7,19,244117,RockyHill
7,20,810763,RockyHill
7,21,1248038,RockyHill
7,22,944071,RockyHill
7,23,679318,RockyHill
7,24,775432,RockyHill
7,25,683355,RockyHill
7,26,646041,RockyHill
7,27,589189,RockyHill
7,28,606775,RockyHill
7,29,589169,RockyHill
7,30,595025,RockyHill
7,31,381317,RockyHill
7,32,0,RockyHill
8,18,226458.2043,Duralie extension
8,19,275449.9187,Duralie extension
8,20,117854.1941,Duralie extension
8,21,129502.5737,Duralie extension
8,22,132928.5677,Duralie extension
8,23,80510.85933,Duralie extension
8,24,110317.0073,Duralie extension
8,25,8907.584437,Duralie extension
8,26,0,Duralie extension
9,18,62050,Stratford - Roseville Extension
9,19,54855.7971,Stratford - Roseville Extension
9,20,38668.84058,Stratford - Roseville Extension
9,21,44064.49275,Stratford - Roseville Extension
9,22,44963.76812,Stratford - Roseville Extension
9,23,43165.21739,Stratford - Roseville Extension
9,24,44963.76812,Stratford - Roseville Extension
9,25,41366.66667,Stratford - Roseville Extension
9,26,39568.11594,Stratford - Roseville Extension
9,27,38668.84058,Stratford - Roseville Extension
9,28,41366.66667,Stratford - Roseville Extension
9,29,0,Stratford - Roseville Extension
