Easting,Northing
402977.3125,6412021.384
401180.9767,6412195.785
400465.9304,6414497.885
403134.2739,6414724.607
403866.7603,6417166.229
399210.2394,6416520.943
398599.834,6418718.402
402680.8299,6419363.688
401948.3435,6420758.9
403221.4746,6421160.024
402645.9496,6422241.313
403256.355,6423427.244
403727.2391,6422904.039
404651.5672,6423427.244
404180.6831,6427089.676
404494.6058,6424927.097
403657.4785,6425066.618
404285.324,6426304.869
403552.8376,6426479.271
398198.7105,6420846.101
399175.3591,6420985.622
400343.8494,6421055.383
400762.413,6422398.275
400221.7683,6422032.032
400012.4864,6423287.723
398826.556,6422485.476
397989.4287,6422851.719
397065.1005,6424752.695
396507.0156,6426828.074
398442.8726,6423549.325
398076.6294,6424665.495
397884.7877,6426078.147
397361.5831,6427298.958
397431.3438,6428327.927
396036.1315,6428641.85
397152.3013,6429513.857
400849.6138,6424194.611
400239.2084,6424229.491
400553.1312,6424229.491
400936.8146,6425328.221
401303.0578,6425153.819
401878.5828,6425607.263
401861.1427,6426043.267
402035.5442,6426880.394
401494.8995,6427333.838
401372.8184,6427909.363
401704.1813,6428048.884
400919.3744,6427979.124
400570.5713,6428886.012
400535.691,6429723.139
400849.6138,6429008.093
400832.1736,6429914.981
400483.3706,6425415.421
401337.9381,6425746.784
401390.2585,6426043.267
401233.2972,6426845.514
401076.3358,6427700.081
400692.6524,6427700.081
400343.8494,6428397.688
400326.4092,6429199.935
399733.444,6429845.22
400239.2084,6430019.622
399925.2857,6429531.297
399349.7606,6429601.058
400361.2895,6430385.865
401058.8956,6430769.548
401826.2624,6431885.718
402122.745,6433228.61
402924.992,6433926.216
402558.7488,6434222.699
401477.4593,6433908.776
401372.8184,6432775.166
399960.166,6432164.761
399611.3629,6433228.61
400692.6524,6433437.892
400779.8532,6434571.502
401076.3358,6436681.76
399907.8455,6436821.282
397535.9847,6438983.861
399593.9228,6439123.382
399925.2857,6438425.776
400867.054,6438547.857
401773.9419,6439384.984
401756.5018,6448959.628
401041.4555,6447878.339
399611.3629,6445541.358
400291.5289,6446779.609
404721.3278,6445942.482
404058.602,6446552.887
403291.2353,6447564.416
402157.6253,6448157.381
401896.023,6447355.134
402105.3048,6446395.926
402087.8647,6445366.957
401861.1427,6444250.787
403221.4746,6453790.551
402541.3087,6453685.91
404110.9225,6450476.922
403064.5133,6451157.088
402663.3897,6451994.215
402750.5905,6452656.941
402942.4322,6452273.257
404093.4823,6456267.052
399280,6455342.724
399175.3591,6453947.512
398373.112,6453825.431
397117.421,6453232.466
397518.5445,6452151.176
398896.3166,6452395.338
400204.3281,6452935.983
401128.6563,6455900.809
402279.7064,6454592.798
402890.1117,6455552.006
402035.5442,6458429.631
399716.0038,6457016.979
400064.8069,6458377.311
401843.7025,6460470.129
403238.9148,6459179.558
404250.4437,6459545.801
404669.0074,6459005.157
403552.8376,6458168.029
403919.0808,6457487.863
403901.6406,6455185.763
404355.0846,6454941.601
404738.768,6454418.396
405209.6521,6454139.354
405261.9726,6453807.991
404721.3278,6453773.111
403709.7989,6454453.277
403709.7989,6454104.473
404703.8877,6453197.585
404651.5672,6452709.261
404215.5634,6452901.103
403500.5171,6453389.427
402977.3125,6453337.107
401477.4593,6452796.462
402977.3125,6452866.223
402890.1117,6451697.732
403360.9959,6451279.169
403884.2005,6450930.366
404599.2468,6450494.362
405331.7332,6449953.717
404477.1657,6449744.435
403221.4746,6449988.597
402541.3087,6450808.284
402366.9071,6449796.756
400832.1736,6451488.45
400622.8918,6449901.397
398687.0348,6449395.632
398809.1159,6448314.343
400570.5713,6448732.906
399838.0849,6448035.3
399506.722,6447180.733
398041.7491,6446064.563
396943.0195,6445297.196
395652.4481,6446413.366
393175.9463,6446465.686
393036.4251,6445087.914
397780.1468,6444512.389
396071.0118,6444512.389
396245.4133,6442977.656
398251.031,6441408.042
398826.556,6443012.536
398861.4363,6444320.547
399925.2857,6445314.636
400361.2895,6446308.725
397379.0233,6439454.745
398669.5946,6440152.351
400012.4864,6440082.59
401390.2585,6440413.953
402541.3087,6440239.552
400779.8532,6441233.64
400117.1274,6442349.81
400622.8918,6443675.262
401390.2585,6443936.864
401512.3396,6444686.791
402122.745,6445837.841
400832.1736,6446605.208
401407.6987,6446971.451
401512.3396,6446622.648
401390.2585,6447302.814
401547.2199,6448279.462
402471.5481,6448750.346
404355.0846,6448052.74
404546.9263,6447215.613
405453.8143,6446169.204
405349.1733,6445489.038
404233.0035,6446029.682
403517.9573,6446727.289
402942.4322,6447250.493
402523.8685,6447756.258
402175.0654,6446954.011
402401.7874,6446256.404
402558.7488,6445593.679
402244.8261,6444808.872
402175.0654,6443936.864
401843.7025,6443221.818
401896.023,6442384.69
401128.6563,6442175.409
402035.5442,6441599.884
402523.8685,6441006.918
